size, block_size, success, time
19, 29, 0.350000, 0.023158
19, 31, 0.160000, 0.024305
19, 33, 0.120000, 0.029735
19, 35, 0.090000, 0.031089
19, 37, 0.270000, 0.031301
19, 39, 0.120000, 0.034048
19, 41, 0.280000, 0.033741
19, 43, 0.320000, 0.035029
19, 45, 0.040000, 0.038421
19, 47, 0.310000, 0.038006
19, 49, 0.170000, 0.040953
19, 51, 0.050000, 0.043601
19, 53, 0.330000, 0.042013
21, 5, 0.200000, 0.012553
21, 7, 0.140000, 0.014333
21, 9, 0.080000, 0.016169
21, 11, 0.290000, 0.017178
21, 13, 0.270000, 0.018525
21, 15, 0.080000, 0.021177
21, 17, 0.330000, 0.021187
21, 19, 0.330000, 0.022835
21, 21, 0.000000, -1.#IND00
21, 23, 0.180000, 0.025419
21, 25, 0.200000, 0.027208
21, 27, 0.070000, 0.029992
21, 29, 0.280000, 0.029559
21, 31, 0.150000, 0.031719
21, 33, 0.110000, 0.037802
21, 35, 0.110000, 0.040208
21, 37, 0.310000, 0.040202
21, 39, 0.110000, 0.044513
21, 41, 0.270000, 0.043799
21, 43, 0.310000, 0.045741
21, 45, 0.080000, 0.050523
21, 47, 0.260000, 0.048810
21, 49, 0.120000, 0.052304
21, 51, 0.120000, 0.055281
21, 53, 0.290000, 0.054051
23, 5, 0.280000, 0.016092
23, 7, 0.100000, 0.018431
23, 9, 0.110000, 0.020544
23, 11, 0.230000, 0.021951
23, 13, 0.290000, 0.023571
23, 15, 0.040000, 0.026765
23, 17, 0.230000, 0.027030
23, 19, 0.320000, 0.028858
23, 21, 0.010000, 0.030997
23, 23, 0.280000, 0.032506
23, 25, 0.280000, 0.034506
23, 27, 0.130000, 0.037083
23, 29, 0.210000, 0.037467
23, 31, 0.120000, 0.039877
23, 33, 0.170000, 0.048322
23, 35, 0.100000, 0.050424
23, 37, 0.240000, 0.051324
23, 39, 0.100000, 0.054558
23, 41, 0.370000, 0.055360
23, 43, 0.310000, 0.057501
23, 45, 0.080000, 0.063689
23, 47, 0.250000, 0.061796
23, 49, 0.100000, 0.066765
23, 51, 0.100000, 0.068928
23, 53, 0.390000, 0.068377
25, 5, 0.280000, 0.020118
25, 7, 0.140000, 0.023054
25, 9, 0.080000, 0.025651
25, 11, 0.280000, 0.027188
25, 13, 0.210000, 0.029476
25, 15, 0.050000, 0.032875
25, 17, 0.210000, 0.034796
25, 19, 0.280000, 0.035889
25, 21, 0.010000, 0.039821
25, 23, 0.320000, 0.040405
25, 25, 0.220000, 0.042505
25, 27, 0.070000, 0.046649
25, 29, 0.280000, 0.046856
25, 31, 0.170000, 0.050324
25, 33, 0.070000, 0.060238
25, 35, 0.080000, 0.064258
25, 37, 0.280000, 0.063671
25, 39, 0.140000, 0.068885
25, 41, 0.260000, 0.069215
25, 43, 0.310000, 0.071480
25, 45, 0.050000, 0.080867
25, 47, 0.350000, 0.076715
25, 49, 0.140000, 0.082795
25, 51, 0.090000, 0.085928
25, 53, 0.280000, 0.085295
27, 5, 0.270000, 0.024834
27, 7, 0.100000, 0.028611
27, 9, 0.050000, 0.031785
27, 11, 0.250000, 0.033928
27, 13, 0.280000, 0.036303
27, 15, 0.070000, 0.040482
27, 17, 0.230000, 0.041828
27, 19, 0.280000, 0.044208
27, 21, 0.010000, 0.050422
27, 23, 0.320000, 0.049594
27, 25, 0.210000, 0.052426
27, 27, 0.110000, 0.056504
27, 29, 0.250000, 0.057400
27, 31, 0.180000, 0.061155
27, 33, 0.150000, 0.073780
27, 35, 0.100000, 0.077778
27, 37, 0.370000, 0.078520
27, 39, 0.080000, 0.085107
27, 41, 0.270000, 0.084842
27, 43, 0.210000, 0.088438
27, 45, 0.030000, 0.097650
27, 47, 0.320000, 0.095040
27, 49, 0.140000, 0.101000
27, 51, 0.110000, 0.103797
27, 53, 0.350000, 0.104616
29, 5, 0.180000, 0.030428
29, 7, 0.090000, 0.034772
29, 9, 0.070000, 0.038950
29, 11, 0.320000, 0.041311
29, 13, 0.360000, 0.044156
29, 15, 0.010000, 0.049041
29, 17, 0.280000, 0.050358
29, 19, 0.280000, 0.053441
29, 21, 0.010000, 0.061107
29, 23, 0.290000, 0.059846
29, 25, 0.260000, 0.063282
29, 27, 0.080000, 0.067033
29, 29, 0.330000, 0.069538
29, 31, 0.110000, 0.073598
29, 33, 0.110000, 0.089255
29, 35, 0.100000, 0.094264
29, 37, 0.220000, 0.095063
29, 39, 0.110000, 0.101669
29, 41, 0.340000, 0.103628
29, 43, 0.270000, 0.107246
29, 45, 0.040000, 0.118592
29, 47, 0.280000, 0.115103
29, 49, 0.090000, 0.123149
29, 51, 0.100000, 0.128109
29, 53, 0.310000, 0.126525
31, 5, 0.280000, 0.036681
31, 7, 0.080000, 0.041921
31, 9, 0.130000, 0.046031
31, 11, 0.340000, 0.049495
31, 13, 0.210000, 0.054333
31, 15, 0.100000, 0.059142
31, 17, 0.320000, 0.060987
31, 19, 0.260000, 0.065146
31, 21, 0.050000, 0.072206
31, 23, 0.300000, 0.072416
31, 25, 0.200000, 0.076244
31, 27, 0.110000, 0.081685
31, 29, 0.290000, 0.083568
31, 31, 0.230000, 0.088346
31, 33, 0.140000, 0.107650
31, 35, 0.130000, 0.112793
31, 37, 0.230000, 0.114599
31, 39, 0.130000, 0.122293
31, 41, 0.220000, 0.124177
31, 43, 0.310000, 0.128003
31, 45, 0.050000, 0.137711
31, 47, 0.340000, 0.138016
31, 49, 0.190000, 0.145919
31, 51, 0.140000, 0.151749
31, 53, 0.290000, 0.152315
33, 5, 0.200000, 0.043436
33, 7, 0.180000, 0.049729
33, 9, 0.090000, 0.054975
33, 11, 0.270000, 0.058860
33, 13, 0.270000, 0.063197
33, 15, 0.070000, 0.069471
33, 17, 0.260000, 0.072233
33, 19, 0.300000, 0.076583
33, 21, 0.020000, 0.084293
33, 23, 0.230000, 0.085663
33, 25, 0.190000, 0.090612
33, 27, 0.120000, 0.096021
33, 29, 0.390000, 0.099303
33, 31, 0.170000, 0.105364
33, 33, 0.100000, 0.127399
33, 35, 0.080000, 0.132653
33, 37, 0.330000, 0.135576
33, 39, 0.160000, 0.144116
33, 41, 0.250000, 0.147269
33, 43, 0.320000, 0.152654
33, 45, 0.050000, 0.164758
33, 47, 0.280000, 0.164134
