size, block_size, success, time
69, 31, 0.200000, 0.850447
69, 33, 0.120000, 1.030799
69, 35, 0.060000, 1.079966
69, 37, 0.280000, 1.122264
69, 39, 0.070000, 1.172794
69, 41, 0.280000, 1.210551
69, 43, 0.230000, 1.259404
69, 45, 0.040000, 1.317820
69, 47, 0.250000, 1.353168
69, 49, 0.130000, 1.407144
69, 51, 0.110000, 1.456495
69, 53, 0.260000, 1.491831
71, 5, 0.220000, 0.392752
71, 7, 0.140000, 0.443077
71, 9, 0.110000, 0.486925
71, 11, 0.210000, 0.524945
71, 13, 0.220000, 0.563990
71, 15, 0.050000, 0.607439
71, 17, 0.340000, 0.643038
71, 19, 0.450000, 0.681735
71, 21, 0.050000, 0.732171
71, 23, 0.260000, 0.760644
71, 25, 0.240000, 0.802251
71, 27, 0.140000, 0.849461
71, 29, 0.260000, 0.880581
71, 31, 0.140000, 0.924688
71, 33, 0.080000, 1.122160
71, 35, 0.090000, 1.174589
71, 37, 0.330000, 1.216353
71, 39, 0.090000, 1.273997
71, 41, 0.280000, 1.318460
71, 43, 0.280000, 1.369794
71, 45, 0.050000, 1.435526
71, 47, 0.340000, 1.471295
71, 49, 0.160000, 1.534496
71, 51, 0.100000, 1.623843
71, 53, 0.320000, 1.620567
73, 5, 0.260000, 0.419816
73, 7, 0.080000, 0.478911
73, 9, 0.080000, 0.524825
73, 11, 0.250000, 0.566958
73, 13, 0.350000, 0.608482
73, 15, 0.020000, 0.658864
73, 17, 0.230000, 0.693824
73, 19, 0.290000, 0.737298
73, 21, 0.030000, 0.786897
73, 23, 0.270000, 0.823013
73, 25, 0.260000, 0.867473
73, 27, 0.140000, 0.914171
73, 29, 0.330000, 0.952637
73, 31, 0.230000, 0.998120
73, 33, 0.100000, 1.212654
73, 35, 0.080000, 1.268814
73, 37, 0.280000, 1.315716
73, 39, 0.140000, 1.378065
73, 41, 0.330000, 1.427111
73, 43, 0.240000, 1.481352
73, 45, 0.060000, 1.554838
73, 47, 0.240000, 1.595295
73, 49, 0.140000, 1.654185
73, 51, 0.150000, 1.710687
73, 53, 0.290000, 1.755395
75, 5, 0.190000, 0.452941
75, 7, 0.090000, 0.517801
75, 9, 0.130000, 0.567807
75, 11, 0.310000, 0.613699
75, 13, 0.320000, 0.659541
75, 15, 0.030000, 0.712874
75, 17, 0.260000, 0.751690
75, 19, 0.230000, 0.798858
75, 21, 0.050000, 0.854593
75, 23, 0.310000, 0.894277
75, 25, 0.180000, 0.941941
75, 27, 0.090000, 0.993518
75, 29, 0.290000, 1.035581
75, 31, 0.140000, 1.086756
75, 33, 0.070000, 1.315482
75, 35, 0.120000, 1.378115
75, 37, 0.260000, 1.427457
75, 39, 0.110000, 1.498120
75, 41, 0.210000, 1.545024
75, 43, 0.280000, 1.605986
75, 45, 0.050000, 1.685993
75, 47, 0.240000, 1.724101
75, 49, 0.090000, 1.793370
75, 51, 0.130000, 1.852551
75, 53, 0.380000, 1.902723
77, 5, 0.280000, 0.490114
77, 7, 0.080000, 0.559354
77, 9, 0.080000, 0.613848
77, 11, 0.230000, 0.662652
77, 13, 0.320000, 0.714926
77, 15, 0.060000, 0.767721
77, 17, 0.240000, 0.812823
77, 19, 0.290000, 0.861139
77, 21, 0.040000, 0.920868
77, 23, 0.300000, 0.962780
77, 25, 0.300000, 1.014104
77, 27, 0.140000, 1.070859
77, 29, 0.210000, 1.113791
77, 31, 0.190000, 1.168897
77, 33, 0.120000, 1.416926
77, 35, 0.090000, 1.482953
77, 37, 0.290000, 1.567519
77, 39, 0.090000, 1.635296
77, 41, 0.290000, 1.671903
