size, block_size, success
13, 45, 0.050000
13, 47, 0.320000
13, 49, 0.120000
13, 51, 0.120000
13, 53, 0.360000
15, 5, 0.290000
15, 7, 0.130000
15, 9, 0.120000
15, 11, 0.320000
15, 13, 0.290000
15, 15, 0.040000
15, 17, 0.220000
15, 19, 0.280000
15, 21, 0.010000
15, 23, 0.190000
15, 25, 0.320000
15, 27, 0.110000
15, 29, 0.290000
15, 31, 0.160000
15, 33, 0.070000
15, 35, 0.100000
15, 37, 0.270000
15, 39, 0.090000
15, 41, 0.310000
15, 43, 0.340000
15, 45, 0.050000
15, 47, 0.290000
15, 49, 0.100000
15, 51, 0.090000
15, 53, 0.230000
17, 5, 0.210000
17, 7, 0.090000
17, 9, 0.120000
17, 11, 0.310000
17, 13, 0.350000
17, 15, 0.070000
17, 17, 0.230000
17, 19, 0.320000
17, 21, 0.010000
17, 23, 0.290000
17, 25, 0.290000
17, 27, 0.110000
17, 29, 0.270000
17, 31, 0.220000
17, 33, 0.090000
17, 35, 0.090000
17, 37, 0.290000
17, 39, 0.110000
17, 41, 0.320000
17, 43, 0.250000
17, 45, 0.070000
17, 47, 0.290000
17, 49, 0.110000
17, 51, 0.120000
17, 53, 0.270000
19, 5, 0.260000
19, 7, 0.100000
19, 9, 0.070000
19, 11, 0.310000
19, 13, 0.240000
19, 15, 0.070000
19, 17, 0.400000
19, 19, 0.290000
19, 21, 0.020000
19, 23, 0.300000
19, 25, 0.270000
19, 27, 0.070000
19, 29, 0.380000
19, 31, 0.160000
19, 33, 0.130000
19, 35, 0.030000
19, 37, 0.340000
19, 39, 0.100000
19, 41, 0.210000
19, 43, 0.250000
19, 45, 0.030000
19, 47, 0.180000
19, 49, 0.110000
19, 51, 0.090000
19, 53, 0.260000
21, 5, 0.270000
21, 7, 0.110000
21, 9, 0.150000
21, 11, 0.250000
21, 13, 0.270000
21, 15, 0.060000
21, 17, 0.300000
21, 19, 0.280000
21, 21, 0.060000
21, 23, 0.340000
21, 25, 0.230000
21, 27, 0.080000
21, 29, 0.240000
21, 31, 0.140000
21, 33, 0.140000
21, 35, 0.070000
21, 37, 0.190000
21, 39, 0.120000
21, 41, 0.320000
21, 43, 0.310000
21, 45, 0.040000
21, 47, 0.310000
21, 49, 0.100000
21, 51, 0.070000
21, 53, 0.260000
23, 5, 0.200000
23, 7, 0.160000
23, 9, 0.140000
23, 11, 0.260000
23, 13, 0.270000
23, 15, 0.050000
23, 17, 0.270000
23, 19, 0.280000
23, 21, 0.000000
23, 23, 0.320000
23, 25, 0.290000
23, 27, 0.080000
23, 29, 0.280000
23, 31, 0.170000
23, 33, 0.080000
23, 35, 0.140000
23, 37, 0.350000
23, 39, 0.120000
23, 41, 0.290000
23, 43, 0.240000
23, 45, 0.080000
23, 47, 0.220000
23, 49, 0.140000
23, 51, 0.200000
23, 53, 0.290000
25, 5, 0.250000
25, 7, 0.130000
25, 9, 0.130000
25, 11, 0.190000
25, 13, 0.250000
25, 15, 0.030000
25, 17, 0.190000
25, 19, 0.220000
25, 21, 0.010000
25, 23, 0.280000
25, 25, 0.200000
25, 27, 0.090000
25, 29, 0.390000
25, 31, 0.140000
25, 33, 0.110000
25, 35, 0.100000
25, 37, 0.310000
25, 39, 0.170000
25, 41, 0.270000
25, 43, 0.210000
25, 45, 0.030000
25, 47, 0.330000
25, 49, 0.130000
25, 51, 0.110000
25, 53, 0.200000
27, 5, 0.360000
27, 7, 0.130000
27, 9, 0.070000
27, 11, 0.300000
27, 13, 0.210000
27, 15, 0.040000
27, 17, 0.180000
27, 19, 0.210000
27, 21, 0.010000
27, 23, 0.230000
27, 25, 0.150000
27, 27, 0.150000
27, 29, 0.290000
27, 31, 0.200000
27, 33, 0.040000
27, 35, 0.110000
27, 37, 0.360000
27, 39, 0.110000
27, 41, 0.290000
27, 43, 0.250000
27, 45, 0.060000
27, 47, 0.210000
27, 49, 0.120000
27, 51, 0.120000
27, 53, 0.300000
29, 5, 0.230000
29, 7, 0.140000
29, 9, 0.070000
29, 11, 0.320000
29, 13, 0.260000
29, 15, 0.020000
29, 17, 0.320000
29, 19, 0.280000
29, 21, 0.020000
29, 23, 0.300000
29, 25, 0.340000
29, 27, 0.110000
29, 29, 0.240000
29, 31, 0.170000
29, 33, 0.140000
29, 35, 0.130000
29, 37, 0.280000
29, 39, 0.130000
29, 41, 0.340000
29, 43, 0.220000
29, 45, 0.040000
29, 47, 0.300000
29, 49, 0.080000
29, 51, 0.090000
29, 53, 0.300000
31, 5, 0.180000
31, 7, 0.150000
31, 9, 0.060000
31, 11, 0.220000
31, 13, 0.310000
31, 15, 0.080000
31, 17, 0.270000
31, 19, 0.310000
31, 21, 0.070000
31, 23, 0.210000
31, 25, 0.260000
31, 27, 0.090000
31, 29, 0.270000
31, 31, 0.130000
31, 33, 0.140000
31, 35, 0.120000
31, 37, 0.300000
31, 39, 0.070000
31, 41, 0.300000
31, 43, 0.300000
31, 45, 0.050000
31, 47, 0.260000
31, 49, 0.120000
31, 51, 0.070000
31, 53, 0.300000
33, 5, 0.220000
33, 7, 0.160000
33, 9, 0.080000
33, 11, 0.310000
33, 13, 0.270000
33, 15, 0.070000
33, 17, 0.240000
33, 19, 0.270000
33, 21, 0.010000
33, 23, 0.310000
33, 25, 0.280000
33, 27, 0.090000
33, 29, 0.260000
33, 31, 0.230000
33, 33, 0.080000
33, 35, 0.100000
33, 37, 0.310000
33, 39, 0.120000
33, 41, 0.230000
33, 43, 0.290000
33, 45, 0.060000
33, 47, 0.300000
33, 49, 0.070000
33, 51, 0.060000
33, 53, 0.250000
35, 5, 0.240000
35, 7, 0.130000
35, 9, 0.090000
35, 11, 0.240000
35, 13, 0.320000
35, 15, 0.030000
35, 17, 0.330000
35, 19, 0.320000
35, 21, 0.030000
35, 23, 0.270000
35, 25, 0.270000
35, 27, 0.080000
35, 29, 0.300000
35, 31, 0.180000
35, 33, 0.130000
35, 35, 0.110000
35, 37, 0.190000
35, 39, 0.070000
35, 41, 0.290000
35, 43, 0.250000
35, 45, 0.010000
35, 47, 0.400000
35, 49, 0.110000
35, 51, 0.140000
35, 53, 0.310000
37, 5, 0.140000
37, 7, 0.090000
37, 9, 0.130000
37, 11, 0.280000
37, 13, 0.230000
37, 15, 0.030000
37, 17, 0.350000
37, 19, 0.280000
37, 21, 0.040000
37, 23, 0.250000
37, 25, 0.250000
37, 27, 0.140000
37, 29, 0.320000
37, 31, 0.120000
37, 33, 0.090000
37, 35, 0.040000
37, 37, 0.200000
37, 39, 0.130000
37, 41, 0.300000
37, 43, 0.380000
37, 45, 0.010000
37, 47, 0.360000
37, 49, 0.130000
37, 51, 0.120000
37, 53, 0.370000
39, 5, 0.260000
39, 7, 0.160000
39, 9, 0.180000
39, 11, 0.210000
39, 13, 0.240000
39, 15, 0.040000
39, 17, 0.250000
39, 19, 0.310000
39, 21, 0.010000
39, 23, 0.300000
39, 25, 0.300000
39, 27, 0.060000
39, 29, 0.330000
39, 31, 0.090000
39, 33, 0.050000
39, 35, 0.110000
39, 37, 0.210000
39, 39, 0.070000
39, 41, 0.310000
39, 43, 0.370000
39, 45, 0.030000
39, 47, 0.390000
39, 49, 0.140000
39, 51, 0.110000
39, 53, 0.360000
41, 5, 0.230000
41, 7, 0.100000
41, 9, 0.080000
41, 11, 0.330000
41, 13, 0.350000
41, 15, 0.070000
41, 17, 0.290000
41, 19, 0.340000
41, 21, 0.060000
41, 23, 0.220000
41, 25, 0.260000
41, 27, 0.080000
41, 29, 0.310000
41, 31, 0.170000
41, 33, 0.190000
41, 35, 0.110000
41, 37, 0.270000
41, 39, 0.110000
41, 41, 0.290000
41, 43, 0.220000
41, 45, 0.070000
41, 47, 0.370000
41, 49, 0.080000
41, 51, 0.130000
41, 53, 0.310000
43, 5, 0.260000
43, 7, 0.180000
43, 9, 0.160000
43, 11, 0.340000
43, 13, 0.220000
43, 15, 0.040000
43, 17, 0.380000
43, 19, 0.360000
43, 21, 0.050000
43, 23, 0.320000
43, 25, 0.220000
43, 27, 0.110000
43, 29, 0.300000
43, 3



size, block_size, success
43, 5, 0.260000
43, 7, 0.150000
43, 9, 0.080000
43, 11, 0.280000
43, 13, 0.360000
43, 15, 0.060000
43, 17, 0.270000
43, 19, 0.300000
43, 21, 0.000000
43, 23, 0.340000
43, 25, 0.300000
43, 27, 0.050000
43, 29, 0.290000
43, 31, 0.140000
43, 33, 0.060000
43, 35, 0.120000
43, 37, 0.330000
43, 39, 0.090000
43, 41, 0.310000
43, 43, 0.260000
43, 45, 0.040000
43, 47, 0.260000
43, 49, 0.150000
43, 51, 0.080000
43, 53, 0.300000
45, 5, 0.320000
45, 7, 0.090000
45, 9, 0.040000
45, 11, 0.240000
45, 13, 0.200000
45, 15, 0.030000
45, 17, 0.270000
45, 19, 0.250000
45, 21, 0.030000
45, 23, 0.270000
45, 25, 0.200000
45, 27, 0.080000
45, 29, 0.340000
45, 31, 0.120000
45, 33, 0.110000
45, 35, 0.050000
45, 37, 0.300000
45, 39, 0.140000
45, 41, 0.280000
45, 43, 0.350000
45, 45, 0.060000
45, 47, 0.250000
45, 49, 0.100000
45, 51, 0.120000
45, 53, 0.300000
47, 5, 0.140000
47, 7, 0.130000
47, 9, 0.130000
47, 11, 0.260000
47, 13, 0.330000
47, 15, 0.040000
47, 17, 0.330000
47, 19, 0.270000
47, 21, 0.040000
47, 23, 0.280000
47, 25, 0.210000
47, 27, 0.090000
47, 29, 0.370000
47, 31, 0.140000
47, 33, 0.090000
47, 35, 0.110000
47, 37, 0.380000
47, 39, 0.130000
47, 41, 0.220000
47, 43, 0.320000
47, 45, 0.020000
47, 47, 0.290000
47, 49, 0.110000
47, 51, 0.070000
47, 53, 0.230000
49, 5, 0.300000
49, 7, 0.080000
49, 9, 0.050000
49, 11, 0.290000
49, 13, 0.290000
49, 15, 0.060000
49, 17, 0.330000
49, 19, 0.270000
49, 21, 0.040000
49, 23, 0.270000
49, 25, 0.240000
49, 27, 0.090000
49, 29, 0.260000
49, 31, 0.190000
49, 33, 0.160000
49, 35, 0.110000
49, 37, 0.420000
49, 39, 0.120000
49, 41, 0.320000
49, 43, 0.380000
49, 45, 0.060000
49, 47, 0.190000
49, 49, 0.110000
49, 51, 0.110000
49, 53, 0.270000
51, 5, 0.190000
51, 7, 0.120000
51, 9, 0.080000
51, 11, 0.210000
51, 13, 0.340000
51, 15, 0.040000
51, 17, 0.280000
51, 19, 0.320000
51, 21, 0.040000
51, 23, 0.310000
51, 25, 0.270000
51, 27, 0.080000
51, 29, 0.220000
51, 31, 0.100000
51, 33, 0.120000
51, 35, 0.100000
51, 37, 0.430000
51, 39, 0.060000
51, 41, 0.320000
51, 43, 0.370000
51, 45, 0.050000
51, 47, 0.260000
51, 49, 0.080000
51, 51, 0.090000
51, 53, 0.300000
53, 5, 0.140000
53, 7, 0.100000
53, 9, 0.110000
53, 11, 0.290000
53, 13, 0.230000
53, 15, 0.070000
53, 17, 0.370000
53, 19, 0.260000
53, 21, 0.040000
53, 23, 0.280000
53, 25, 0.210000
53, 27, 0.120000
53, 29, 0.300000
53, 31, 0.200000
53, 33, 0.100000
53, 35, 0.100000
53, 37, 0.250000
53, 39, 0.150000
53, 41, 0.260000
53, 43, 0.330000
53, 45, 0.060000
53, 47, 0.300000
53, 49, 0.120000
53, 51, 0.110000
53, 53, 0.300000

size, block_size, success
55, 5, 0.270000
55, 7, 0.090000
55, 9, 0.110000
55, 11, 0.350000
55, 13, 0.350000
55, 15, 0.040000
55, 17, 0.260000
55, 19, 0.390000
55, 21, 0.020000
55, 23, 0.260000
55, 25, 0.180000
55, 27, 0.010000
55, 29, 0.300000
55, 31, 0.160000
55, 33, 0.140000
55, 35, 0.090000
55, 37, 0.350000
55, 39, 0.120000
55, 41, 0.310000
55, 43, 0.390000
55, 45, 0.050000
55, 47, 0.380000
55, 49, 0.150000
55, 51, 0.140000
55, 53, 0.270000
57, 5, 0.200000
57, 7, 0.090000
57, 9, 0.080000
57, 11, 0.320000
57, 13, 0.280000
57, 15, 0.060000
57, 17, 0.340000
57, 19, 0.290000
57, 21, 0.020000
57, 23, 0.360000
57, 25, 0.270000
57, 27, 0.110000
57, 29, 0.300000
57, 31, 0.170000
57, 33, 0.080000
57, 35, 0.070000
57, 37, 0.420000
57, 39, 0.090000
57, 41, 0.290000
57, 43, 0.310000
57, 45, 0.060000
57, 47, 0.320000
57, 49, 0.090000
57, 51, 0.100000
57, 53, 0.340000
59, 5, 0.260000
59, 7, 0.100000
59, 9, 0.140000
59, 11, 0.250000
59, 13, 0.370000
59, 15, 0.060000
59, 17, 0.310000
59, 19, 0.310000
59, 21, 0.000000
59, 23, 0.310000
59, 25, 0.250000
59, 27, 0.110000
59, 29, 0.270000
59, 31, 0.140000
59, 33, 0.170000
59, 35, 0.120000
59, 37, 0.270000
59, 39, 0.120000
59, 41, 0.260000
59, 43, 0.300000
59, 45, 0.040000
59, 47, 0.300000
59, 49, 0.160000
59, 51, 0.160000
59, 53, 0.280000
61, 5, 0.260000
61, 7, 0.110000
61, 9, 0.080000
61, 11, 0.220000
61, 13, 0.260000
61, 15, 0.030000
61, 17, 0.290000
61, 19, 0.290000
61, 21, 0.010000
61, 23, 0.340000
61, 25, 0.300000
61, 27, 0.090000
61, 29, 0.320000
61, 31, 0.130000
61, 33, 0.110000
61, 35, 0.080000
61, 37, 0.250000
61, 39, 0.130000
61, 41, 0.350000
61, 43, 0.290000
61, 45, 0.060000
61, 47, 0.240000
61, 49, 0.140000
61, 51, 0.130000
61, 53, 0.300000
63, 5, 0.210000
63, 7, 0.110000
63, 9, 0.150000
63, 11, 0.260000
63, 13, 0.290000
63, 15, 0.070000
63, 17, 0.280000
63, 19, 0.270000
63, 21, 0.030000
63, 23, 0.180000
63, 25, 0.380000
63, 27, 0.070000
63, 29, 0.250000
63, 31, 0.140000
63, 33, 0.090000
63, 35, 0.100000
63, 37, 0.270000
63, 39, 0.080000
63, 41, 0.210000
63, 43, 0.330000
63, 45, 0.070000
63, 47, 0.310000
63, 49, 0.160000
63, 51, 0.060000
63, 53, 0.300000
65, 5, 0.310000
65, 7, 0.100000
65, 9, 0.100000
65, 11, 0.360000
65, 13, 0.360000
65, 15, 0.010000
65, 17, 0.280000
65, 19, 0.220000


size, block_size, success
65, 5, 0.180000
65, 7, 0.150000
65, 9, 0.090000
65, 11, 0.310000
65, 13, 0.270000
65, 15, 0.050000
65, 17, 0.250000
65, 19, 0.270000
65, 21, 0.030000
65, 23, 0.230000
65, 25, 0.260000
65, 27, 0.130000
65, 29, 0.210000
65, 31, 0.200000
65, 33, 0.100000
65, 35, 0.050000
65, 37, 0.390000
65, 39, 0.150000
65, 41, 0.280000
65, 43, 0.280000
65, 45, 0.060000
65, 47, 0.300000
65, 49, 0.100000
65, 51, 0.050000
65, 53, 0.290000
67, 5, 0.260000
67, 7, 0.150000
67, 9, 0.080000
67, 11, 0.230000
67, 13, 0.300000
67, 15, 0.040000
67, 17, 0.310000
67, 19, 0.270000
67, 21, 0.060000
67, 23, 0.350000
67, 25, 0.260000
67, 27, 0.150000
67, 29, 0.270000
67, 31, 0.230000
67, 33, 0.130000
67, 35, 0.110000
67, 37, 0.280000
67, 39, 0.080000
67, 41, 0.280000
67, 43, 0.430000
67, 45, 0.090000
67, 47, 0.320000
67, 49, 0.140000
67, 51, 0.100000
67, 53, 0.300000
69, 5, 0.230000
69, 7, 0.160000
69, 9, 0.090000
69, 11, 0.310000
69, 13, 0.310000
69, 15, 0.080000
69, 17, 0.370000
69, 19, 0.320000
69, 21, 0.040000
69, 23, 0.360000
69, 25, 0.150000
69, 27, 0.080000
69, 29, 0.290000
69, 31, 0.160000
69, 33, 0.080000
69, 35, 0.100000
69, 37, 0.320000
69, 39, 0.160000
69, 41, 0.280000
69, 43, 0.280000
69, 45, 0.060000
69, 47, 0.370000
69, 49, 0.190000
69, 51, 0.090000
69, 53, 0.210000
71, 5, 0.220000
71, 7, 0.130000
71, 9, 0.100000
71, 11, 0.300000
71, 13, 0.300000
71, 15, 0.060000
71, 17, 0.350000
71, 19, 0.280000
71, 21, 0.020000
71, 23, 0.300000
71, 25, 0.210000
71, 27, 0.130000
71, 29, 0.290000
71, 31, 0.100000
71, 33, 0.100000
71, 35, 0.120000
71, 37, 0.290000
71, 39, 0.110000
71, 41, 0.310000
71, 43, 0.220000
71, 45, 0.040000
71, 47, 0.240000
71, 49, 0.140000
71, 51, 0.130000
71, 53, 0.270000
73, 5, 0.230000

size, block_size, success
73, 5, 0.280000
73, 7, 0.090000
73, 9, 0.120000
73, 11, 0.310000
73, 13, 0.240000
73, 15, 0.040000
73, 17, 0.340000
73, 19, 0.330000
73, 21, 0.020000
73, 23, 0.310000
73, 25, 0.280000
73, 27, 0.150000
73, 29, 0.320000
73, 31, 0.230000
73, 33, 0.060000
73, 35, 0.050000
73, 37, 0.290000
73, 39, 0.090000
73, 41, 0.310000
73, 43, 0.300000
73, 45, 0.040000
73, 47, 0.250000
73, 49, 0.140000
73, 51, 0.080000
73, 53, 0.310000
75, 5, 0.230000
75, 7, 0.130000
75, 9, 0.140000
75, 11, 0.290000
75, 13, 0.270000
